selection,sample_id,source_name,category,task_profile,chosen_candidate,predicted_score,semantic_score,calibrated_score,coverage_floor,coverage_gate_mode,coverage_gate_baseline_candidate,coverage_gate_baseline_coverage,coverage_gate_baseline_jump,coverage_gate_jump_gain,coverage_gate_loss_slack,oracle_score,quality_level,unified_loss,jump_count,trim_count,off_mask_stitch_length_mm,visible_connector_count,coverage_ratio,stitch_precision_ratio,risk_flags,risk_flag_count,risk_score,needs_review
public_balanced,omj_003,OpenMoji,butterfly,balanced,mask_fill_edgewalk_rows16_p40,-9.7322089,0.24402947,0.24270345,0.85,safe_coverage,mask_fill_edgewalk_rows16_p40,1.0,9.0,0.0,,0.08646574,excellent,0.08646574,9,2,0.0,0,1.0,0.896875,,0,0.14846574,False
public_balanced,txt_005,Rendered text,HELLO,balanced,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,-5.67211061,0.14,0.16446154,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_safeadt_t2m5_r055_a64_rows16_p40,1.0,4.0,0.0,,0.04897519,excellent,0.03295144,4,0,0.0,0,1.0,0.593175,low_precision,1,0.14615769,True
public_balanced,omj_001,OpenMoji,heart,balanced,auto_hybrid_skeleton_c12,-16.54596371,0.36972533,0.35582972,0.85,safe_coverage,auto_hybrid_skeleton_c12,0.955519,0.0,0.0,,0.054,pass,0.054,0,9,0.0,0,0.955519,0.917291,high_trim,1,0.14,True
public_balanced,ocp_004,Openclipart,koi_fish,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-17.12361517,0.11958136,0.10762322,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.986799,8.0,0.0,,0.07231227,excellent,0.07231227,8,1,0.0,0,0.986799,0.922549,,0,0.12431227,False
public_balanced,qd_008,QuickDraw,star,balanced,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,-15.7935672,0.05820192,0.05238173,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,0.990681,4.0,0.0,,0.03308916,excellent,0.03308916,4,0,0.0,0,0.990681,0.733626,low_precision,1,0.11118266,True
public_balanced,ocp_006,Openclipart,butterfly_2,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-21.08717125,0.10670803,0.09603722,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.985939,7.0,0.0,,0.0642997,excellent,0.0642997,7,1,0.0,0,0.985939,0.956797,,0,0.1102997,False
public_balanced,txt_004,Rendered text,2026,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-9.89491064,0.09756396,0.11280757,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,3.0,0.0,,0.0246597,excellent,0.0246597,3,0,0.0,0,1.0,0.709028,low_precision,1,0.1029027,True
public_balanced,qd_005,QuickDraw,bicycle,balanced,skeleton_c30_m4,-15.56470326,0.03893126,0.03503813,0.85,safe_coverage,skeleton_c30_m4,0.989125,2.0,0.0,,0.02216811,excellent,0.01639641,2,0,0.0,0,0.989125,0.661522,low_precision,1,0.10051591,True
public_balanced,omj_009,OpenMoji,lady_beetle,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-19.95654752,0.00899755,0.0080978,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.994021,6.0,0.0,,0.05602895,excellent,0.05602895,6,1,0.0,0,0.994021,0.927864,,0,0.09602895,False
public_balanced,omj_010,OpenMoji,seedling,balanced,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,-12.93594047,0.28907829,0.26017046,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t3_m6_rows16_p40,0.988723,6.0,0.0,,0.05566039,excellent,0.05566039,6,1,0.0,0,0.988723,0.848344,,0,0.09566039,False
public_balanced,ocp_008,Openclipart,fish,balanced,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.47544314,0.13693765,0.17324388,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.998761,6.0,0.0,,0.04959581,excellent,0.04959581,6,0,0.0,0,0.998761,0.836391,,0,0.08559581,False
public_balanced,txt_002,Rendered text,DST,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-11.46223328,0.08699882,0.1398374,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,2.0,0.0,,0.01619731,excellent,0.01619731,2,0,0.0,0,1.0,0.72495,low_precision,1,0.08445981,True
public_balanced,ocp_007,Openclipart,sitting_cat,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-14.15329901,0.22,0.198,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,4.0,0.0,,0.0445497,excellent,0.0445497,4,0,0.4955,0,1.0,0.874258,,0,0.0834147,False
public_balanced,ocp_003,Openclipart,cat,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-23.52244236,0.05813275,0.05231947,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.995802,4.0,0.0,,0.03313396,excellent,0.03313396,4,0,0.0,0,0.995802,0.933175,,0,0.05713396,False
public_balanced,ocp_005,Openclipart,public_domain_logo,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-24.91326116,0.17745744,0.15971169,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,1.0,4.0,0.0,,0.03311236,excellent,0.03311236,4,0,0.0,0,1.0,0.964093,,0,0.05711236,False
public_balanced,txt_003,Rendered text,WKU,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-15.56402722,0.07388655,0.06649789,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.996639,4.0,0.0,,0.03293545,excellent,0.03293545,4,0,0.0,0,0.996639,0.759544,,0,0.05693545,False
public_balanced,ocp_009,Openclipart,flower_2,balanced,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,-0.69209346,0.10195564,0.15426007,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset1_rows16_p40,0.99727,3.0,0.0,,0.02474275,excellent,0.02474275,3,0,0.0,0,0.99727,0.765745,,0,0.04274275,False
public_balanced,omj_002,OpenMoji,star,balanced,mask_fill_edgewalk_nearestrow_rows16_p40,-17.22540498,0.19574452,0.19924699,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_rows16_p40,1.0,3.0,0.0,,0.02470419,excellent,0.02470419,3,0,0.0,0,1.0,0.875953,,0,0.04270419,False
public_balanced,omj_006,OpenMoji,cherry_blossom,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-23.52099519,0.06298095,0.05668285,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.992683,3.0,0.0,,0.0246882,excellent,0.0246882,3,0,0.0,0,0.992683,0.916022,,0,0.0426882,False
public_balanced,ocp_002,Openclipart,butterfly,balanced,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,-4.1429109,0.01202984,0.06082686,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.971346,2.0,0.0,,0.01645384,excellent,0.01645384,2,0,0.0,0,0.971346,0.943255,,0,0.02845384,False
public_balanced,txt_001,Rendered text,AI,balanced,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,-19.95970417,0.04163783,0.03747405,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_adapt_t4_m8_rows16_p40,0.996709,1.0,0.0,,0.008,excellent,0.008,1,0,0.0,0,0.996709,0.836556,,0,0.014,False
public_low_jump,qd_007,QuickDraw,moon,low_jump,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.61716458,0.0660274,0.05942466,0.85,safe_coverage,mask_fill_edgewalk_nearestrow_inset2_rows16_p40,0.933862,14.0,0.0,,0.13462299,pass,0.12888579,14,2,0.0,0,0.933862,0.661752,high_loss|high_jump|low_precision,3,0.39294779,True
