rank,lr,weight_decay,epochs,seed,accuracy,mean_train_pair_accuracy,mean_unified_loss,mean_hard_score,mean_jump_count,mean_trim_count,mean_off_mask_stitch_length_mm,mean_visible_connector_count
77,0.01,0.001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
78,0.01,0.001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
79,0.01,0.01,300,3,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
80,0.01,0.01,300,5,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
81,0.01,0.01,300,8,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
82,0.01,0.01,300,13,0.5,0.98876263,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
83,0.01,0.01,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
84,0.01,0.01,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
85,0.01,0.01,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
86,0.01,0.01,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
87,0.01,0.01,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
88,0.01,0.01,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
89,0.03,0.0,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
90,0.03,0.0,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
91,0.03,0.0,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
92,0.03,0.0,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
93,0.03,0.0,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
94,0.03,0.0,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
95,0.03,0.0,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
96,0.03,0.0,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
97,0.03,0.0,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
98,0.03,0.0,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
99,0.03,0.0,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
100,0.03,0.0001,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
101,0.03,0.0001,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
102,0.03,0.0001,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
103,0.03,0.0001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
104,0.03,0.0001,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
105,0.03,0.0001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
106,0.03,0.0001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
107,0.03,0.0001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
108,0.03,0.0001,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
109,0.03,0.0001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
110,0.03,0.0001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
111,0.03,0.001,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
112,0.03,0.001,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
113,0.03,0.001,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
114,0.03,0.001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
115,0.03,0.001,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
116,0.03,0.001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
117,0.03,0.001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
118,0.03,0.001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
119,0.03,0.001,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
120,0.03,0.001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
121,0.03,0.001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
122,0.03,0.01,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
123,0.03,0.01,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
124,0.03,0.01,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
125,0.03,0.01,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
126,0.03,0.01,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
127,0.03,0.01,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
128,0.03,0.01,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
129,0.03,0.01,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
130,0.03,0.01,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
131,0.03,0.01,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
132,0.03,0.01,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
133,0.05,0.0,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
134,0.05,0.0,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
135,0.05,0.0,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
136,0.05,0.0,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
137,0.05,0.0,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
138,0.05,0.0,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
139,0.05,0.0,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
140,0.05,0.0,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
141,0.05,0.0,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
142,0.05,0.0,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
143,0.05,0.0,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
144,0.05,0.0001,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
145,0.05,0.0001,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
146,0.05,0.0001,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
147,0.05,0.0001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
148,0.05,0.0001,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
149,0.05,0.0001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
150,0.05,0.0001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
151,0.05,0.0001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
152,0.05,0.0001,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
153,0.05,0.0001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
154,0.05,0.0001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
155,0.05,0.001,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
156,0.05,0.001,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
157,0.05,0.001,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
158,0.05,0.001,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
159,0.05,0.001,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
160,0.05,0.001,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
161,0.05,0.001,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
162,0.05,0.001,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
163,0.05,0.001,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
164,0.05,0.001,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
165,0.05,0.001,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
166,0.05,0.01,300,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
167,0.05,0.01,300,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
168,0.05,0.01,300,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
169,0.05,0.01,300,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
170,0.05,0.01,600,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
171,0.05,0.01,600,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
172,0.05,0.01,600,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
173,0.05,0.01,600,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
174,0.05,0.01,1000,1,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
175,0.05,0.01,1000,3,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
176,0.05,0.01,1000,5,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
177,0.05,0.01,1000,8,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
178,0.05,0.01,1000,13,0.5,1.0,0.62181175,53.67051279,157.5,24.25,176.956275,40.25
179,0.005,0.0,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
180,0.005,0.0,600,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
181,0.005,0.0,600,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
182,0.005,0.0,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
183,0.005,0.0,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
184,0.005,0.0,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
185,0.005,0.0001,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
186,0.005,0.0001,600,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
187,0.005,0.0001,600,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
188,0.005,0.0001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
189,0.005,0.0001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
190,0.005,0.0001,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
191,0.005,0.001,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
192,0.005,0.001,600,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
193,0.005,0.001,600,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
194,0.005,0.001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
195,0.005,0.001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
196,0.005,0.001,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
197,0.005,0.01,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
198,0.005,0.01,600,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
199,0.005,0.01,600,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
200,0.005,0.01,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
201,0.005,0.01,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
202,0.005,0.01,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
203,0.01,0.0,300,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
204,0.01,0.0,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
205,0.01,0.0,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
206,0.01,0.0,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
207,0.01,0.0,600,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
208,0.01,0.0,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
209,0.01,0.0,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
210,0.01,0.0,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
211,0.01,0.0001,300,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
212,0.01,0.0001,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
213,0.01,0.0001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
214,0.01,0.0001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
215,0.01,0.0001,600,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
216,0.01,0.0001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
217,0.01,0.0001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
218,0.01,0.0001,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
219,0.01,0.001,300,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
220,0.01,0.001,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
221,0.01,0.001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
222,0.01,0.001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
223,0.01,0.001,600,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
224,0.01,0.001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
225,0.01,0.001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
226,0.01,0.001,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
227,0.01,0.01,300,1,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
228,0.01,0.01,300,2,0.25,0.98876263,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
229,0.01,0.01,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
230,0.01,0.01,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
231,0.01,0.01,600,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
232,0.01,0.01,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
233,0.01,0.01,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
234,0.01,0.01,1000,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
235,0.03,0.0,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
236,0.03,0.0,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
237,0.03,0.0,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
238,0.03,0.0,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
239,0.03,0.0,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
240,0.03,0.0,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
241,0.03,0.0,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
242,0.03,0.0001,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
243,0.03,0.0001,300,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
244,0.03,0.0001,300,5,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
245,0.03,0.0001,600,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
246,0.03,0.0001,600,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
247,0.03,0.0001,1000,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
248,0.03,0.0001,1000,2,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
249,0.03,0.001,300,1,0.25,1.0,0.62802082,56.39779165,227.5,26.25,176.1915,40.0
