rank,hidden_dim,lr,weight_decay,epochs,seed,mean_config_mse
269,32,0.01,0.001,800,13,102.42621289
270,32,0.01,0.0001,800,13,103.1085092
271,32,0.01,0.0,800,13,103.18516704
272,16,0.01,0.01,800,2,103.6730733
273,16,0.005,0.001,800,2,104.90747148
274,16,0.005,0.0001,800,2,105.21270977
275,16,0.005,0.0,800,2,105.24677997
276,32,0.005,0.001,800,13,105.50601259
277,32,0.005,0.0001,800,13,105.83903889
278,32,0.005,0.0,800,13,105.87624202
279,16,0.05,0.001,800,13,106.69704908
280,4,0.03,0.01,800,5,106.91949621
281,4,0.03,0.01,800,3,106.92389967
282,4,0.05,0.001,800,2,107.83130185
283,16,0.05,0.01,800,3,108.22649326
284,16,0.03,0.001,800,13,108.69976783
285,16,0.01,0.001,800,2,109.0325206
286,16,0.01,0.001,800,13,109.35168804
287,16,0.01,0.0001,800,2,109.60644727
288,16,0.01,0.0,800,2,109.67067328
289,16,0.01,0.0001,800,13,110.73278946
290,16,0.01,0.0,800,13,110.88739498
291,16,0.05,0.001,800,2,111.02386251
292,4,0.05,0.0001,800,2,111.24685108
293,4,0.05,0.0,800,2,111.64114123
294,16,0.03,0.001,800,2,111.91083402
295,16,0.03,0.0001,800,13,112.51614032
296,16,0.03,0.0,800,13,112.95017389
297,16,0.05,0.0001,800,13,113.02637151
298,16,0.03,0.0001,800,2,113.69648197
299,16,0.05,0.0,800,13,113.75740665
300,16,0.03,0.0,800,2,113.89839937
301,16,0.05,0.0001,800,2,113.9636888
302,16,0.05,0.0,800,2,114.29968563
303,32,0.01,0.01,800,5,117.3651207
304,4,0.03,0.001,800,2,117.65475538
305,16,0.03,0.01,800,3,119.72144493
306,4,0.03,0.0001,800,2,119.90034819
307,4,0.03,0.0,800,2,120.1563785
308,4,0.05,0.001,800,5,120.6583574
309,32,0.05,0.001,800,5,124.94064019
310,4,0.05,0.0001,800,5,126.37563543
311,4,0.05,0.0,800,5,127.04123333
312,32,0.03,0.001,800,5,128.29332637
313,4,0.01,0.01,800,2,129.93181055
314,16,0.05,0.001,800,3,131.94760552
315,32,0.01,0.001,800,5,132.13742996
316,16,0.03,0.001,800,3,132.48391322
317,4,0.01,0.01,800,5,133.8840661
318,4,0.03,0.001,800,5,134.16775395
319,4,0.05,0.001,800,3,134.21324244
320,16,0.03,0.0001,800,3,134.47500602
321,16,0.03,0.0,800,3,134.69988411
322,4,0.01,0.01,800,13,134.77330619
323,16,0.05,0.0001,800,3,135.22819931
324,16,0.05,0.0,800,3,135.60134437
325,32,0.005,0.01,800,5,135.66147284
326,32,0.01,0.0001,800,5,137.10760296
327,32,0.01,0.0,800,5,137.31011131
328,4,0.03,0.0001,800,5,137.68158348
